index	 x	 y	 px	 py
316	 14.317451	 9.739925	 14.268221	 9.881617	
317	 14.308064	 9.590219	 14.317451	 9.739925	
318	 8.202995	 3.974493	 8.210771	 4.054131	
319	 14.313249	 9.440310	 14.273149	 9.524970	
320	 12.937624	 14.250897	 12.878174	 14.113181	
321	 13.079946	 14.203520	 13.027658	 14.100742	
322	 12.904781	 10.415751	 13.032516	 10.494390	
323	 9.200259	 10.098666	 9.171848	 10.086371	
324	 8.887526	 9.426270	 8.878012	 9.378935	
325	 13.751263	 10.085745	 13.846819	 10.099869	
326	 3.589171	 4.471137	 3.658340	 4.604237	
327	 13.873417	 11.453084	 13.734831	 11.395691	
328	 4.067547	 4.546607	 3.996616	 4.678776	
329	 8.562928	 4.372316	 8.713319	 4.474824	
330	 3.539283	 4.695480	 3.741122	 4.729325	
331	 12.636209	 14.232625	 12.698071	 14.128527	
332	 3.948270	 8.240229	 4.104128	 8.317556	
333	 13.174064	 14.320318	 13.027975	 14.286285	
334	 3.389908	 4.709157	 3.539283	 4.695480	
335	 9.559089	 10.901054	 9.437334	 10.943502	
336	 14.346286	 9.293993	 14.313249	 9.440310	
337	 10.781346	 10.569830	 10.843374	 10.706405	
338	 4.111335	 4.403140	 4.067547	 4.546607	
339	 3.624690	 5.342093	 3.724509	 5.391492	
340	 8.891638	 5.979187	 9.039321	 5.952925	
341	 6.004060	 6.546751	 5.871320	 6.616609	
342	 8.063001	 4.028359	 8.210771	 4.054131	
343	 14.437730	 9.175090	 14.362409	 9.298594	
344	 14.395090	 10.288135	 14.261358	 10.220195	
345	 9.132191	 7.592073	 9.170232	 7.742146	
346	 4.235241	 4.318598	 4.141470	 4.416087	
347	 4.393807	 9.372234	 4.378178	 9.239191	
348	 14.346037	 9.056378	 14.437730	 9.175090	
349	 8.275768	 3.843328	 8.202995	 3.974493	
350	 11.500933	 11.720214	 11.574774	 11.850780	
351	 14.014976	 11.502693	 13.873417	 11.453084	
352	 9.591601	 10.754621	 9.481578	 10.800176	
353	 8.393018	 13.337966	 8.471913	 13.210391	
354	 14.164886	 11.507848	 14.014976	 11.502693	
355	 7.960401	 3.918937	 7.970676	 3.904967	
356	 6.146105	 8.675504	 6.283838	 8.616094	
357	 8.293524	 10.220592	 8.158957	 10.154322	
358	 14.241142	 8.949154	 14.346037	 9.056378	
359	 8.327710	 3.702609	 8.371468	 3.729837	
360	 14.131261	 8.847046	 14.241142	 8.949154	
361	 3.983796	 5.625456	 4.104287	 5.688581	
362	 9.222118	 6.957135	 9.285710	 6.988157	
363	 7.884171	 3.789751	 7.856498	 3.857057	
364	 13.298067	 14.404716	 13.174064	 14.320318	
365	 3.529186	 5.457761	 3.724509	 5.391492	
366	 8.284933	 13.441975	 8.393018	 13.337966	
367	 11.961102	 12.854823	 11.819149	 12.903295	
368	 7.801972	 3.664279	 7.947796	 3.704142	
369	 7.787825	 3.514947	 7.903236	 3.510893	
370	 12.045102	 13.918028	 12.084321	 13.773246	
371	 5.508790	 6.444122	 5.470599	 6.587444	
372	 8.647924	 8.862473	 8.647166	 9.012470	
373	 13.298103	 14.554716	 13.298067	 14.404716	
374	 14.187279	 8.707898	 14.136481	 8.810545	
375	 3.489250	 4.359262	 3.589171	 4.471137	
376	 13.448064	 14.558150	 13.298103	 14.554716	
377	 2.723761	 8.129971	 2.751009	 8.221055	
378	 13.846819	 10.099869	 13.841767	 10.205364	
379	 2.586848	 8.068692	 2.723761	 8.129971	
380	 6.100776	 7.822506	 5.956734	 7.864361	
381	 11.680344	 13.119104	 11.698204	 13.101425	
382	 14.207781	 11.364112	 14.018566	 11.230379	
383	 8.766237	 6.061495	 8.891638	 5.979187	
384	 8.172940	 13.541762	 8.284933	 13.441975	
385	 14.231678	 8.564620	 14.187279	 8.707898	
386	 13.596902	 14.539519	 13.448064	 14.558150	
387	 14.278679	 8.422174	 14.299356	 8.492213	
388	 13.696174	 14.651970	 13.596902	 14.539519	
389	 7.840670	 3.374564	 7.903236	 3.510893	
390	 3.303792	 4.586340	 3.389908	 4.709157	
391	 14.210388	 8.288621	 14.278679	 8.422174	
392	 14.262541	 8.147979	 14.316307	 8.316496	
393	 9.770617	 11.081371	 9.671353	 11.193829	
394	 14.544868	 10.279971	 14.395090	 10.288135	
395	 8.060915	 13.641514	 8.172940	 13.541762	
396	 3.156344	 4.558787	 3.303792	 4.586340	
397	 14.264109	 7.997987	 14.263131	 8.000798	
398	 7.794904	 3.231717	 7.840670	 3.374564	
399	 12.543267	 14.350361	 12.636209	 14.232625	
400	 12.055996	 14.067632	 12.045102	 13.918028	
401	 5.011964	 8.574526	 5.046004	 8.479942	
402	 8.069325	 13.791278	 8.071459	 13.652223	
403	 13.845697	 14.663908	 13.713455	 14.684244	
404	 7.985943	 13.915967	 8.069325	 13.791278	
405	 4.495155	 5.765189	 4.541403	 5.884448	
406	 14.694736	 10.273674	 14.544868	 10.279971	
407	 6.796255	 10.109207	 6.933453	 10.169843	
408	 9.283279	 6.265130	 9.254478	 6.274373	
409	 8.987165	 11.286635	 8.958136	 11.107859	
410	 2.486008	 8.179738	 2.597033	 8.218346	
411	 10.831160	 11.171636	 10.668796	 11.263564	
412	 8.196573	 13.870701	 8.309188	 13.809038	
413	 14.121952	 7.950119	 14.263131	 8.000798	
414	 5.550683	 6.300091	 5.508790	 6.444122	
415	 2.572690	 7.919362	 2.586848	 8.068692	
416	 3.939827	 5.768867	 4.125142	 5.743780	
417	 3.036588	 4.468463	 3.156344	 4.558787	
418	 13.986508	 8.807718	 14.131261	 8.847046	
419	 9.349216	 4.180466	 9.349539	 4.330465	
420	 4.012803	 8.817084	 4.122760	 8.721251	
421	 13.983141	 14.603832	 13.845697	 14.663908	
422	 4.499986	 6.400129	 4.637267	 6.529283	
423	 13.975401	 7.918138	 14.006002	 8.045280	
424	 2.434464	 7.861108	 2.531023	 7.929467	
425	 14.132341	 14.588369	 13.983141	 14.603832	
426	 3.792728	 4.537604	 3.741122	 4.729325	
427	 8.983418	 7.572919	 8.991072	 7.637201	
428	 4.541973	 9.395621	 4.502434	 9.268792	
429	 14.428552	 8.416000	 14.373590	 8.538329	
430	 14.843447	 10.293294	 14.694736	 10.273674	
431	 12.463547	 14.477423	 12.543267	 14.350361	
432	 14.001614	 7.770446	 14.069685	 7.909470	
433	 9.145964	 5.221382	 9.204037	 5.229603	
434	 11.351089	 11.986320	 11.262863	 12.061341	
435	 14.573812	 8.453406	 14.499088	 8.456170	
436	 14.369633	 7.891381	 14.263131	 8.000798	
437	 7.900301	 3.124986	 7.794904	 3.231717	
438	 14.092259	 8.381063	 14.082538	 8.580653	
439	 14.506630	 7.830293	 14.402806	 7.856017	
440	 8.001880	 3.014615	 8.108720	 3.068391	
441	 14.600180	 7.713039	 14.506630	 7.830293	
442	 9.030858	 13.057223	 8.971552	 12.919445	
443	 2.975995	 4.331246	 3.036588	 4.468463	
444	 13.847338	 14.813899	 13.750857	 14.791647	
445	 14.101853	 14.441501	 14.161194	 14.550746	
446	 5.686280	 6.235957	 5.658254	 6.456790	
447	 14.624308	 7.564992	 14.600180	 7.713039	
448	 14.692936	 7.431612	 14.624308	 7.564992	
449	 14.264299	 14.659693	 14.124032	 14.655307	
450	 9.926124	 11.547419	 9.993320	 11.454084	
451	 14.731815	 7.286739	 14.692936	 7.431612	
452	 2.847918	 4.253169	 2.975995	 4.331246	
453	 7.895643	 2.908720	 8.001880	 3.014615	
454	 4.985091	 6.695292	 5.072158	 6.682830	
455	 6.206150	 9.177724	 6.260719	 9.317446	
456	 2.289052	 7.824289	 2.434464	 7.861108	
457	 11.906283	 14.058354	 12.045102	 13.918028	
458	 7.879076	 14.021226	 7.985943	 13.915967	
459	 8.117146	 2.918628	 8.108720	 3.068391	
460	 2.886130	 8.464186	 2.946086	 8.326690	
461	 14.643282	 7.165653	 14.714364	 7.223931	
462	 14.720370	 7.036977	 14.714364	 7.223931	
463	 14.613313	 6.931912	 14.538221	 7.058590	
464	 12.603061	 13.600059	 12.390749	 13.516480	
465	 14.608643	 6.781985	 14.613313	 6.931912	
466	 7.779481	 14.133390	 7.879076	 14.021226	
467	 6.086478	 8.242373	 6.081074	 8.395060	
468	 8.253554	 2.856234	 8.331770	 2.984228	
469	 2.727731	 4.342919	 2.826916	 4.347839	
470	 2.635125	 4.460920	 2.887379	 4.453079	
471	 2.495512	 4.406075	 2.554179	 4.268024	
472	 14.414111	 14.667200	 14.264299	 14.659693	
473	 13.825401	 7.918577	 14.006002	 8.045280	
474	 6.332117	 8.996092	 6.549932	 8.992332	
475	 14.517970	 6.662492	 14.608643	 6.781985	
476	 13.836899	 8.818529	 13.986508	 8.807718	
477	 13.723475	 7.808527	 13.825401	 7.918577	
478	 6.746768	 9.126221	 6.872835	 9.177242	
479	 14.531134	 6.513071	 14.517970	 6.662492	
480	 2.414233	 4.280005	 2.554179	 4.268024	
481	 14.659029	 6.434695	 14.531134	 6.513071	
482	 13.702820	 8.751276	 13.836899	 8.818529	
483	 6.250774	 7.821812	 6.100776	 7.822506	
484	 2.354944	 4.142220	 2.554179	 4.268024	
485	 14.881113	 7.301232	 14.731815	 7.286739	
486	 12.070622	 12.752328	 11.961102	 12.854823	
487	 14.723460	 8.463676	 14.722150	 8.475679	
488	 8.452118	 11.868667	 8.535062	 11.783396	
489	 2.799243	 8.586459	 2.886130	 8.464186	
490	 7.920805	 10.265670	 7.868041	 10.172558	
491	 2.732132	 8.720609	 2.799243	 8.586459	
492	 6.872835	 9.177242	 6.961845	 9.297978	
493	 2.301536	 4.002049	 2.354944	 4.142220	
494	 2.159104	 7.899211	 2.289052	 7.824289	
495	 5.880278	 6.982324	 5.758801	 6.894327	
496	 2.033752	 7.816828	 2.176676	 7.771300	
497	 11.785281	 14.147002	 11.824138	 14.088449	
498	 14.715196	 6.295608	 14.659029	 6.434695	
499	 13.637516	 7.685600	 13.723475	 7.808527	
500	 11.563146	 11.583724	 11.500933	 11.720214	
501	 6.811046	 8.679346	 6.674060	 8.740460	
502	 9.003518	 6.988883	 9.077281	 6.996150	
503	 7.639441	 14.187140	 7.779481	 14.133390	
504	 2.282207	 4.351204	 2.414233	 4.280005	
505	 13.487861	 7.695765	 13.600677	 7.645320	
506	 14.490826	 14.538301	 14.495589	 14.547324	
507	 9.126801	 10.229447	 8.996488	 10.155161	
508	 7.492117	 14.215345	 7.639441	 14.187140	
509	 6.029086	 8.769346	 6.154260	 8.851999	
510	 2.369382	 3.868270	 2.301536	 4.002049	
511	 14.117339	 14.292302	 13.947126	 14.314617	
512	 8.271168	 14.000838	 8.309188	 13.809038	
513	 2.315052	 3.728455	 2.369382	 3.868270	
514	 8.320388	 4.596374	 8.424747	 4.488627	
515	 14.873451	 8.462025	 14.722150	 8.475679	
